"","Lon","Lat","X","Nimi","Type","Õppekeel","Aadress","x","y","ads_oid"
"77",24.7101598684472,59.4271939708781,116,"Tallinna Lille Lasteaed","lasteaed","eesti","Keemia tn 5a, Kristiine linnaosa",540310,6587917,"ME00645501"
"78",24.8289699073473,59.4421282597,118,"Tallinna Lindakivi Lasteaed","lasteaed","vene","J. Koorti tn 5, Lasnamäe linnaosa",547033,6589658,"ME02101595"
"79",24.8682023418619,59.448922386339,119,"Tallinna Linnamäe Lasteaed","lasteaed","vene","Linnamäe tee 4, Lasnamäe linnaosa",549249,6590443,"ME02101504"
"80",24.7270262734749,59.4183584822143,121,"Tallinna Linnupesa Lasteaed","lasteaed","eesti","Lagle pst 3, Kristiine linnaosa",541278,6586943,"ME00641859"
"81",24.8412957707771,59.4423373605994,122,"Tallinna Loitsu Lasteaed","lasteaed","eesti","Loitsu tn 8, Lasnamäe linnaosa",547732,6589690,"ME00637453"
"82",24.7385206602606,59.4245423634973,123,"Tallinna Luha Lasteaed","lasteaed","eesti","Luha tn 29, Kesklinna linnaosa",541923,6587639,"ME00654732"
"83",24.8822559854147,59.4524377506739,125,"Tallinna Läänemere Lasteaed","lasteaed","eesti","Läänemere tee 56, Lasnamäe linnaosa",550041,6590845,"ME02092754"
"84",24.7344004877499,59.4156244846164,126,"Tallinna Magdaleena Lasteaed","lasteaed","eesti","Asula tn 16, Kesklinna linnaosa",541700,6586643,"ME00641259"
"85",24.8760834456788,59.4400099264499,127,"Tallinna Mahtra Lasteaed","lasteaed","eesti/ vene","Mahtra tn 19, Lasnamäe linnaosa",549709,6589456,"ME00637454"
"86",24.7637568861927,59.4304577345769,129,"Tallinna Mardi Lasteaed","lasteaed","eesti","Mardi tn 5, Kesklinna linnaosa",543348,6588314,"ME00654725"
"87",24.6435530434963,59.4153999242071,130,"Tallinna Meelespea Lasteaed","lasteaed","eesti","Õismäe tee 92, Haabersti linnaosa",536542,6586565,"ME00641094"
"88",24.7725663545811,59.4312142515543,132,"Tallinna Mesimummu Lasteaed","lasteaed","eesti","Tartu mnt 57, Kesklinna linnaosa",543847,6588404,"ME02115269"
"89",24.8702227807676,59.4493399479185,133,"Tallinna Muhu Lasteaed","lasteaed","vene","Linnamäe tee 6, Lasnamäe linnaosa",549363,6590491,"ME02101519"
"90",24.7140726334703,59.3969118902526,134,"Tallinna Muinasjutu Lasteaed","lasteaed","eesti/ vene","Energia tn 11, Kristiine linnaosa",540568,6584546,"ME00646198"
"91",24.8705881847661,59.4463841139983,135,"Tallinna Mustakivi Lasteaed","lasteaed","vene","Kivila tn 9, Lasnamäe linnaosa",549388,6590162,"ME00637458"
"92",24.7037048338714,59.4260077939282,140,"Tallinna Mutionu Lasteaed","lasteaed","eesti","Mehaanika tn 17, Kristiine linnaosa",539945,6587781,"ME00658828"
